t,T
9.67,1624.69
9.68,1624.13
9.69,1623.57
9.70,1623.02
9.71,1622.46
9.72,1621.91
9.73,1621.36
9.74,1620.80
9.75,1620.25
9.76,1619.70
9.77,1619.15
9.78,1618.60
9.79,1618.05
9.80,1617.50
9.81,1616.96
9.82,1616.41
9.83,1615.87
9.84,1615.32
9.85,1614.78
9.86,1614.23
9.87,1613.69
9.88,1613.15
9.89,1612.61
9.90,1612.07
9.91,1611.53
9.92,1610.99
9.93,1610.45
9.94,1609.91
9.95,1609.37
9.96,1608.84
9.97,1608.30
9.98,1607.77
9.99,1607.23
10.00,1606.70
10.01,1606.17
10.02,1605.63
10.03,1605.10
10.04,1604.57
10.05,1604.04
10.06,1603.51
10.07,1602.98
10.08,1602.46
10.09,1601.93
10.10,1601.40
10.11,1600.88
10.12,1600.35
10.13,1599.83
10.14,1599.30
10.15,1598.78
10.16,1598.26
10.17,1597.74
10.18,1597.22
10.19,1596.70
10.20,1596.18
10.21,1595.66
10.22,1595.14
10.23,1594.62
10.24,1594.10
10.25,1593.59
10.26,1593.07
10.27,1592.56
10.28,1592.04
10.29,1591.53
10.30,1591.02
10.31,1590.50
10.32,1589.99
10.33,1589.48
10.34,1588.97
10.35,1588.46
10.36,1587.95
10.37,1587.44
10.38,1586.94
10.39,1586.43
10.40,1585.92
10.41,1585.42
10.42,1584.91
10.43,1584.41
10.44,1583.90
10.45,1583.40
10.46,1582.90
10.47,1582.40
10.48,1581.89
10.49,1581.39
10.50,1580.89
10.51,1580.39
10.52,1579.90
10.53,1579.40
10.54,1578.90
10.55,1578.40
10.56,1577.91
10.57,1577.41
10.58,1576.92
10.59,1576.42
10.60,1575.93
10.61,1575.44
10.62,1574.94
10.63,1574.45
10.64,1573.96
10.65,1573.47
10.66,1572.98
10.67,1572.49
10.68,1572.00
10.69,1571.51
10.70,1571.02
10.71,1570.54
10.72,1570.05
10.73,1569.57
10.74,1569.08
10.75,1568.60
10.76,1568.11
10.77,1567.63
10.78,1567.15
10.79,1566.66
10.80,1566.18
10.81,1565.70
10.82,1565.22
10.83,1564.74
10.84,1564.26
10.85,1563.78
10.86,1563.30
10.87,1562.83
10.88,1562.35
10.89,1561.87
10.90,1561.40
10.91,1560.92
10.92,1560.45
10.93,1559.97
10.94,1559.50
10.95,1559.03
10.96,1558.55
10.97,1558.08
10.98,1557.61
10.99,1557.14
11.00,1556.67
11.01,1556.20
11.02,1555.73
11.03,1555.26
11.04,1554.80
11.05,1554.33
11.06,1553.86
11.07,1553.40
11.08,1552.93
11.09,1552.47
11.10,1552.00
11.11,1551.54
11.12,1551.07
11.13,1550.61
11.14,1550.15
11.15,1549.69
11.16,1549.23
11.17,1548.77
11.18,1548.31
11.19,1547.85
11.20,1547.39
11.21,1546.93
11.22,1546.47
11.23,1546.01
11.24,1545.56
11.25,1545.10
11.26,1544.65
11.27,1544.19
11.28,1543.74
11.29,1543.28
11.30,1542.83
11.31,1542.38
11.32,1541.92
11.33,1541.47
11.34,1541.02
11.35,1540.57
11.36,1540.12
11.37,1539.67
11.38,1539.22
11.39,1538.77
11.40,1538.32
11.41,1537.87
11.42,1537.43
11.43,1536.98
11.44,1536.53
11.45,1536.09
11.46,1535.64
11.47,1535.20
11.48,1534.75
11.49,1534.31
11.50,1533.87
11.51,1533.43
11.52,1532.98
11.53,1532.54
11.54,1532.10
11.55,1531.66
