t,T
6.86,1817.52
6.87,1816.64
6.88,1815.77
6.89,1814.90
6.90,1814.03
6.91,1813.17
6.92,1812.30
6.93,1811.44
6.94,1810.58
6.95,1809.72
6.96,1808.86
6.97,1808.00
6.98,1807.15
6.99,1806.30
7.00,1805.44
7.01,1804.59
7.02,1803.75
7.03,1802.90
7.04,1802.05
7.05,1801.21
7.06,1800.37
7.07,1799.53
7.08,1798.69
7.09,1797.85
7.10,1797.02
7.11,1796.18
7.12,1795.35
7.13,1794.52
7.14,1793.69
7.15,1792.86
7.16,1792.03
7.17,1791.21
7.18,1790.38
7.19,1789.56
7.20,1788.74
7.21,1787.92
7.22,1787.11
7.23,1786.29
7.24,1785.47
7.25,1784.66
7.26,1783.85
7.27,1783.04
7.28,1782.23
7.29,1781.42
7.30,1780.62
7.31,1779.81
7.32,1779.01
7.33,1778.21
7.34,1777.41
7.35,1776.61
7.36,1775.81
7.37,1775.02
7.38,1774.23
7.39,1773.43
7.40,1772.64
7.41,1771.85
7.42,1771.06
7.43,1770.28
7.44,1769.49
7.45,1768.71
7.46,1767.92
7.47,1767.14
7.48,1766.36
7.49,1765.58
7.50,1764.80
7.51,1764.03
7.52,1763.25
7.53,1762.48
7.54,1761.71
7.55,1760.94
7.56,1760.17
7.57,1759.40
7.58,1758.63
7.59,1757.87
7.60,1757.11
7.61,1756.34
7.62,1755.58
7.63,1754.82
7.64,1754.06
7.65,1753.31
7.66,1752.55
7.67,1751.80
7.68,1751.04
7.69,1750.29
7.70,1749.54
7.71,1748.79
7.72,1748.04
7.73,1747.29
7.74,1746.55
7.75,1745.80
7.76,1745.06
7.77,1744.32
7.78,1743.58
7.79,1742.84
7.80,1742.10
7.81,1741.36
7.82,1740.63
7.83,1739.89
7.84,1739.16
7.85,1738.43
7.86,1737.70
7.87,1736.97
7.88,1736.24
7.89,1735.51
7.90,1734.79
7.91,1734.06
7.92,1733.34
7.93,1732.62
7.94,1731.90
7.95,1731.18
7.96,1730.46
7.97,1729.74
7.98,1729.03
7.99,1728.31
8.00,1727.60
8.01,1726.88
8.02,1726.17
8.03,1725.46
8.04,1724.75
8.05,1724.05
8.06,1723.34
8.07,1722.63
8.08,1721.93
8.09,1721.22
8.10,1720.52
8.11,1719.82
8.12,1719.12
8.13,1718.42
8.14,1717.73
8.15,1717.03
8.16,1716.33
8.17,1715.64
8.18,1714.95
8.19,1714.25
8.20,1713.56
8.21,1712.87
8.22,1712.19
8.23,1711.50
8.24,1710.81
8.25,1710.13
8.26,1709.44
8.27,1708.76
8.28,1708.08
8.29,1707.40
8.30,1706.72
8.31,1706.04
8.32,1705.36
8.33,1704.68
8.34,1704.01
8.35,1703.33
8.36,1702.66
8.37,1701.99
8.38,1701.32
8.39,1700.65
8.40,1699.98
8.41,1699.31
8.42,1698.64
8.43,1697.97
8.44,1697.31
8.45,1696.65
8.46,1695.98
8.47,1695.32
8.48,1694.66
8.49,1694.00
8.50,1693.34
8.51,1692.68
8.52,1692.03
8.53,1691.37
8.54,1690.72
8.55,1690.06
8.56,1689.41
8.57,1688.76
8.58,1688.11
8.59,1687.46
8.60,1686.81
8.61,1686.16
8.62,1685.52
8.63,1684.87
8.64,1684.22
8.65,1683.58
8.66,1682.94
8.67,1682.30
8.68,1681.66
8.69,1681.02
8.70,1680.38
8.71,1679.74
8.72,1679.10
8.73,1678.47
8.74,1677.83
8.75,1677.20
8.76,1676.56
8.77,1675.93
8.78,1675.30
8.79,1674.67
8.80,1674.04
8.81,1673.41
8.82,1672.79
8.83,1672.16
8.84,1671.53
8.85,1670.91
8.86,1670.29
8.87,1669.66
8.88,1669.04
8.89,1668.42
8.90,1667.80
8.91,1667.18
8.92,1666.56
8.93,1665.95
8.94,1665.33
8.95,1664.72
8.96,1664.10
8.97,1663.49
8.98,1662.88
8.99,1662.26
9.00,1661.65
9.01,1661.04
9.02,1660.43
9.03,1659.83
9.04,1659.22
9.05,1658.61
9.06,1658.01
9.07,1657.40
9.08,1656.80
9.09,1656.20
9.10,1655.59
9.11,1654.99
9.12,1654.39
9.13,1653.79
9.14,1653.19
9.15,1652.60
9.16,1652.00
9.17,1651.40
9.18,1650.81
9.19,1650.22
9.20,1649.62
9.21,1649.03
9.22,1648.44
9.23,1647.85
9.24,1647.26
9.25,1646.67
9.26,1646.08
9.27,1645.49
9.28,1644.91
9.29,1644.32
9.30,1643.74
9.31,1643.15
9.32,1642.57
9.33,1641.99
9.34,1641.41
9.35,1640.82
9.36,1640.24
9.37,1639.67
9.38,1639.09
9.39,1638.51
9.40,1637.93
9.41,1637.36
9.42,1636.78
9.43,1636.21
9.44,1635.63
9.45,1635.06
9.46,1634.49
9.47,1633.92
9.48,1633.35
9.49,1632.78
9.50,1632.21
9.51,1631.64
9.52,1631.08
9.53,1630.51
9.54,1629.94
9.55,1629.38
9.56,1628.82
9.57,1628.25
9.58,1627.69
9.59,1627.13
9.60,1626.57
9.61,1626.01
9.62,1625.45
9.63,1624.89
9.64,1624.33
9.65,1623.78
9.66,1623.22
9.67,1622.66
9.68,1622.11
9.69,1621.56
9.70,1621.00
9.71,1620.45
9.72,1619.90
9.73,1619.35
9.74,1618.80
9.75,1618.25
9.76,1617.70
9.77,1617.15
9.78,1616.61
9.79,1616.06
9.80,1615.51
9.81,1614.97
9.82,1614.42
9.83,1613.88
9.84,1613.34
9.85,1612.80
9.86,1612.25
9.87,1611.71
9.88,1611.17
9.89,1610.64
9.90,1610.10
9.91,1609.56
9.92,1609.02
9.93,1608.49
9.94,1607.95
9.95,1607.42
9.96,1606.88
9.97,1606.35
9.98,1605.82
9.99,1605.28
10.00,1604.75
10.01,1604.22
10.02,1603.69
10.03,1603.16
10.04,1602.63
10.05,1602.11
10.06,1601.58
10.07,1601.05
10.08,1600.53
10.09,1600.00
10.10,1599.48
10.11,1598.95
10.12,1598.43
10.13,1597.91
10.14,1597.39
10.15,1596.87
10.16,1596.35
10.17,1595.83
10.18,1595.31
10.19,1594.79
10.20,1594.27
10.21,1593.76
10.22,1593.24
10.23,1592.72
10.24,1592.21
10.25,1591.70
10.26,1591.18
10.27,1590.67
10.28,1590.16
10.29,1589.65
10.30,1589.13
10.31,1588.62
10.32,1588.12
10.33,1587.61
10.34,1587.10
10.35,1586.59
10.36,1586.08
10.37,1585.58
10.38,1585.07
10.39,1584.57
10.40,1584.06
10.41,1583.56
10.42,1583.06
10.43,1582.55
10.44,1582.05
10.45,1581.55
10.46,1581.05
10.47,1580.55
10.48,1580.05
10.49,1579.55
10.50,1579.05
10.51,1578.56
10.52,1578.06
10.53,1577.56
10.54,1577.07
10.55,1576.57
10.56,1576.08
10.57,1575.59
10.58,1575.09
10.59,1574.60
10.60,1574.11
10.61,1573.62
10.62,1573.13
10.63,1572.64
10.64,1572.15
10.65,1571.66
10.66,1571.17
10.67,1570.68
10.68,1570.20
10.69,1569.71
10.70,1569.22
10.71,1568.74
10.72,1568.25
10.73,1567.77
10.74,1567.29
10.75,1566.80
10.76,1566.32
10.77,1565.84
10.78,1565.36
10.79,1564.88
10.80,1564.40
10.81,1563.92
10.82,1563.44
10.83,1562.96
10.84,1562.49
10.85,1562.01
10.86,1561.53
10.87,1561.06
10.88,1560.58
10.89,1560.11
10.90,1559.63
10.91,1559.16
10.92,1558.69
10.93,1558.22
10.94,1557.74
10.95,1557.27
10.96,1556.80
10.97,1556.33
10.98,1555.86
10.99,1555.39
11.00,1554.93
11.01,1554.46
11.02,1553.99
11.03,1553.53
11.04,1553.06
11.05,1552.59
11.06,1552.13
11.07,1551.66
11.08,1551.20
11.09,1550.74
11.10,1550.28
11.11,1549.81
11.12,1549.35
11.13,1548.89
11.14,1548.43
11.15,1547.97
11.16,1547.51
11.17,1547.05
11.18,1546.59
11.19,1546.14
11.20,1545.68
11.21,1545.22
11.22,1544.77
11.23,1544.31
11.24,1543.86
11.25,1543.40
11.26,1542.95
11.27,1542.49
11.28,1542.04
11.29,1541.59
11.30,1541.14
11.31,1540.69
11.32,1540.23
11.33,1539.78
11.34,1539.33
11.35,1538.89
11.36,1538.44
11.37,1537.99
11.38,1537.54
11.39,1537.09
11.40,1536.65
11.41,1536.20
11.42,1535.76
11.43,1535.31
11.44,1534.87
11.45,1534.42
11.46,1533.98
11.47,1533.54
11.48,1533.09
11.49,1532.65
11.50,1532.21
11.51,1531.77
11.52,1531.33
11.53,1530.89
11.54,1530.45
11.55,1530.01
11.56,1529.57
11.57,1529.13
11.58,1528.70
11.59,1528.26
11.60,1527.82
11.61,1527.39
11.62,1526.95
11.63,1526.52
11.64,1526.08
11.65,1525.65
11.66,1525.22
11.67,1524.78
11.68,1524.35
11.69,1523.92
11.70,1523.49
11.71,1523.06
11.72,1522.63
11.73,1522.20
11.74,1521.77
11.75,1521.34
11.76,1520.91
11.77,1520.48
11.78,1520.05
11.79,1519.63
11.80,1519.20
11.81,1518.77
11.82,1518.35
11.83,1517.92
11.84,1517.50
11.85,1517.07
11.86,1516.65
11.87,1516.23
11.88,1515.80
11.89,1515.38
11.90,1514.96
11.91,1514.54
11.92,1514.12
11.93,1513.70
11.94,1513.28
11.95,1512.86
11.96,1512.44
11.97,1512.02
11.98,1511.60
11.99,1511.18
12.00,1510.77
12.01,1510.35
12.02,1509.93
12.03,1509.52
12.04,1509.10
12.05,1508.69
12.06,1508.27
12.07,1507.86
12.08,1507.44
12.09,1507.03
12.10,1506.62
12.11,1506.21
12.12,1505.80
12.13,1505.38
12.14,1504.97
12.15,1504.56
12.16,1504.15
12.17,1503.74
12.18,1503.33
12.19,1502.93
12.20,1502.52
12.21,1502.11
12.22,1501.70
12.23,1501.30
12.24,1500.89
12.25,1500.48
12.26,1500.08
