t,T
98.50,750.50
98.60,750.24
98.70,749.99
98.80,749.74
98.90,749.48
99.00,749.23
99.10,748.98
99.20,748.73
99.30,748.48
99.40,748.23
99.50,747.98
99.60,747.73
99.70,747.48
99.80,747.23
99.90,746.98
100.00,746.73
100.10,746.48
100.20,746.23
100.30,745.98
100.40,745.74
100.50,745.49
100.60,745.24
100.70,745.00
100.80,744.75
100.90,744.50
101.00,744.26
101.10,744.01
101.20,743.77
101.30,743.52
101.40,743.28
101.50,743.03
101.60,742.79
101.70,742.55
101.80,742.30
101.90,742.06
102.00,741.82
102.10,741.58
102.20,741.34
102.30,741.09
102.40,740.85
102.50,740.61
102.60,740.37
102.70,740.13
102.80,739.89
102.90,739.65
103.00,739.41
103.10,739.17
103.20,738.93
103.30,738.70
103.40,738.46
103.50,738.22
103.60,737.98
103.70,737.75
103.80,737.51
103.90,737.27
104.00,737.04
104.10,736.80
104.20,736.56
104.30,736.33
104.40,736.09
104.50,735.86
104.60,735.63
104.70,735.39
104.80,735.16
104.90,734.92
105.00,734.69
105.10,734.46
105.20,734.22
105.30,733.99
105.40,733.76
105.50,733.53
105.60,733.30
105.70,733.07
105.80,732.84
105.90,732.60
106.00,732.37
106.10,732.14
106.20,731.91
106.30,731.69
106.40,731.46
106.50,731.23
106.60,731.00
106.70,730.77
106.80,730.54
106.90,730.31
107.00,730.09
107.10,729.86
107.20,729.63
107.30,729.41
107.40,729.18
107.50,728.95
107.60,728.73
107.70,728.50
107.80,728.28
107.90,728.05
108.00,727.83
108.10,727.60
108.20,727.38
108.30,727.16
108.40,726.93
108.50,726.71
108.60,726.49
108.70,726.26
108.80,726.04
108.90,725.82
109.00,725.60
109.10,725.38
109.20,725.15
109.30,724.93
109.40,724.71
109.50,724.49
109.60,724.27
109.70,724.05
109.80,723.83
109.90,723.61
110.00,723.39
110.10,723.17
110.20,722.96
110.30,722.74
110.40,722.52
110.50,722.30
110.60,722.08
110.70,721.87
110.80,721.65
110.90,721.43
111.00,721.22
111.10,721.00
111.20,720.78
111.30,720.57
111.40,720.35
111.50,720.14
111.60,719.92
111.70,719.71
111.80,719.49
111.90,719.28
112.00,719.06
112.10,718.85
112.20,718.64
112.30,718.42
