t,T
39.95,1014.02
40.00,1013.60
40.05,1013.18
40.10,1012.76
40.15,1012.34
40.20,1011.92
40.25,1011.50
40.30,1011.08
40.35,1010.66
40.40,1010.25
40.45,1009.83
40.50,1009.41
40.55,1009.00
40.60,1008.58
40.65,1008.17
40.70,1007.76
40.75,1007.35
40.80,1006.93
40.85,1006.52
40.90,1006.11
40.95,1005.70
41.00,1005.29
41.05,1004.89
41.10,1004.48
41.15,1004.07
41.20,1003.67
41.25,1003.26
41.30,1002.86
41.35,1002.45
41.40,1002.05
41.45,1001.64
41.50,1001.24
41.55,1000.84
41.60,1000.44
41.65,1000.04
41.70,999.64
41.75,999.24
41.80,998.84
41.85,998.44
41.90,998.05
41.95,997.65
42.00,997.25
42.05,996.86
42.10,996.46
42.15,996.07
42.20,995.68
42.25,995.28
42.30,994.89
42.35,994.50
42.40,994.11
42.45,993.72
42.50,993.33
42.55,992.94
42.60,992.55
42.65,992.16
42.70,991.78
42.75,991.39
42.80,991.00
42.85,990.62
42.90,990.23
42.95,989.85
43.00,989.46
43.05,989.08
43.10,988.70
43.15,988.32
43.20,987.94
43.25,987.56
43.30,987.17
43.35,986.80
43.40,986.42
43.45,986.04
43.50,985.66
43.55,985.28
43.60,984.91
43.65,984.53
43.70,984.15
43.75,983.78
43.80,983.41
43.85,983.03
43.90,982.66
43.95,982.29
44.00,981.91
44.05,981.54
44.10,981.17
44.15,980.80
44.20,980.43
44.25,980.06
44.30,979.69
44.35,979.32
44.40,978.96
44.45,978.59
44.50,978.22
44.55,977.86
44.60,977.49
44.65,977.13
44.70,976.76
44.75,976.40
44.80,976.04
44.85,975.67
44.90,975.31
44.95,974.95
45.00,974.59
45.05,974.23
45.10,973.87
45.15,973.51
45.20,973.15
45.25,972.79
45.30,972.43
45.35,972.07
45.40,971.72
45.45,971.36
45.50,971.01
45.55,970.65
45.60,970.30
45.65,969.94
45.70,969.59
45.75,969.23
45.80,968.88
45.85,968.53
45.90,968.18
45.95,967.83
46.00,967.48
46.05,967.12
46.10,966.78
46.15,966.43
46.20,966.08
46.25,965.73
46.30,965.38
46.35,965.03
46.40,964.69
46.45,964.34
46.50,964.00
46.55,963.65
46.60,963.31
46.65,962.96
46.70,962.62
46.75,962.27
46.80,961.93
46.85,961.59
46.90,961.25
46.95,960.91
47.00,960.57
47.05,960.23
47.10,959.89
47.15,959.55
47.20,959.21
47.25,958.87
47.30,958.53
47.35,958.19
47.40,957.86
47.45,957.52
47.50,957.18
47.55,956.85
47.60,956.51
47.65,956.18
47.70,955.85
47.75,955.51
47.80,955.18
47.85,954.85
47.90,954.51
47.95,954.18
48.00,953.85
48.05,953.52
48.10,953.19
48.15,952.86
48.20,952.53
48.25,952.20
48.30,951.87
48.35,951.54
48.40,951.22
48.45,950.89
48.50,950.56
48.55,950.24
48.60,949.91
48.65,949.58
48.70,949.26
48.75,948.93
48.80,948.61
48.85,948.29
48.90,947.96
48.95,947.64
49.00,947.32
49.05,947.00
49.10,946.68
49.15,946.35
49.20,946.03
49.25,945.71
49.30,945.39
49.35,945.07
49.40,944.76
49.45,944.44
49.50,944.12
49.55,943.80
49.60,943.48
49.65,943.17
49.70,942.85
49.75,942.54
49.80,942.22
49.85,941.90
49.90,941.59
49.95,941.28
50.00,940.96
50.05,940.65
50.10,940.34
50.15,940.02
50.20,939.71
50.25,939.40
50.30,939.09
50.35,938.78
50.40,938.47
50.45,938.16
50.50,937.85
50.55,937.54
50.60,937.23
50.65,936.92
50.70,936.61
50.75,936.30
50.80,936.00
50.85,935.69
50.90,935.38
50.95,935.08
51.00,934.77
51.05,934.47
51.10,934.16
51.15,933.86
51.20,933.55
51.25,933.25
51.30,932.95
51.35,932.64
51.40,932.34
51.45,932.04
51.50,931.74
51.55,931.44
51.60,931.14
51.65,930.84
51.70,930.54
51.75,930.24
51.80,929.94
51.85,929.64
51.90,929.34
51.95,929.04
52.00,928.74
52.05,928.45
52.10,928.15
52.15,927.85
52.20,927.56
52.25,927.26
52.30,926.96
52.35,926.67
52.40,926.37
52.45,926.08
52.50,925.79
52.55,925.49
52.60,925.20
52.65,924.91
52.70,924.61
52.75,924.32
52.80,924.03
52.85,923.74
52.90,923.45
52.95,923.16
53.00,922.87
53.05,922.58
53.10,922.29
53.15,922.00
53.20,921.71
53.25,921.42
53.30,921.13
53.35,920.84
53.40,920.56
53.45,920.27
53.50,919.98
53.55,919.70
53.60,919.41
53.65,919.12
53.70,918.84
53.75,918.55
53.80,918.27
53.85,917.99
53.90,917.70
53.95,917.42
54.00,917.14
54.05,916.85
54.10,916.57
54.15,916.29
54.20,916.01
54.25,915.72
54.30,915.44
54.35,915.16
54.40,914.88
54.45,914.60
54.50,914.32
54.55,914.04
54.60,913.76
54.65,913.49
54.70,913.21
54.75,912.93
54.80,912.65
54.85,912.37
54.90,912.10
54.95,911.82
55.00,911.54
55.05,911.27
55.10,910.99
55.15,910.72
55.20,910.44
55.25,910.17
55.30,909.89
55.35,909.62
55.40,909.35
55.45,909.07
55.50,908.80
55.55,908.53
55.60,908.25
55.65,907.98
55.70,907.71
55.75,907.44
55.80,907.17
55.85,906.90
55.90,906.63
55.95,906.36
56.00,906.09
56.05,905.82
56.10,905.55
56.15,905.28
56.20,905.01
56.25,904.74
56.30,904.47
56.35,904.21
56.40,903.94
56.45,903.67
56.50,903.41
56.55,903.14
56.60,902.87
56.65,902.61
56.70,902.34
56.75,902.08
56.80,901.81
56.85,901.55
56.90,901.28
56.95,901.02
57.00,900.76
57.05,900.49
57.10,900.23
57.15,899.97
57.20,899.71
57.25,899.44
57.30,899.18
57.35,898.92
57.40,898.66
57.45,898.40
57.50,898.14
57.55,897.88
57.60,897.62
57.65,897.36
57.70,897.10
57.75,896.84
57.80,896.58
57.85,896.33
57.90,896.07
57.95,895.81
58.00,895.55
58.05,895.29
58.10,895.04
58.15,894.78
58.20,894.53
58.25,894.27
58.30,894.01
58.35,893.76
58.40,893.50
58.45,893.25
58.50,892.99
58.55,892.74
58.60,892.49
58.65,892.23
